kanji,level
仇,準1級
汲,準1級
灸,準1級
笈,準1級
渠,準1級
鋸,準1級
禦,準1級
亨,準1級
侠,準1級
僑,準1級
兇,準1級
匡,準1級
卿,準1級
喬,準1級
彊,準1級
怯,準1級
蕎,準1級
饗,準1級
尭,準1級
桐,準1級
粁,準1級
欣,準1級
欽,準1級
禽,準1級
芹,準1級
衿,準1級
倶,準1級
狗,準1級
玖,準1級
矩,準1級
躯,準1級
駈,準1級
喰,準1級
寓,準1級
櫛,準1級
釧,準1級
屑,準1級
沓,準1級
轡,準1級
窪,準1級
隈,準1級
粂,準1級
栗,準1級
鍬,準1級
卦,準1級
袈,準1級
祁,準1級
圭,準1級
珪,準1級
慧,準1級
