group	transitive_kanji	transitive_kana	transitive_pos	transitive_gloss	intransitive_kanji	intransitive_kana	intransitive_pos	intransitive_gloss
3	背ける	そむける	v1	to turn one's face away; to avert one's eyes	背く	そむく	v5k	to run counter to; to go against; to disobey; to infringe
3	揃える	そろえる	v1	to put things in order; to arrange; to make uniform; to get something ready	揃う	そろう	v5u	to become complete; to be equal; to be all present; to gather
3	揃える	そろえる	v1	to put things in order; to arrange; to make uniform; to get something ready	揃う	そろう	v5u	to become complete; to be equal; to be all present; to gather
3	平らげる	たいらげる	v1	to subjugate; to put down (trouble); to consume (food); to eat up	平らぐ	たいらぐ	v5g	to be suppressed
3	立てる	たてる	v1	to stand (something) up; to erect (something)	立つ	たつ	v5t	to stand
3	縮める	ちぢめる	v1	to shorten; to reduce; to boil down; to shrink	縮む	ちぢむ	v5m	to shrink; to be contracted
3	付ける	つける	v1,vt	(1) to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment); (2) to furnish (a house with); (3) to wear; to put on; (4) to keep a diary; to make an entry; (5) to appraise; to set (a price); (6) to bring alongside; (7) to place (under guard or doctor); (8) to follow; to shadow; (9) to load; to give (courage to); (10) to keep (an eye on); (11) to establish (relations or understanding)	付く	つく	v5k,vi	to adjoin; to be attached; to adhere; to be connected with; to be dyed; to be stained; to be scarred; to be recorded; to start (fires); to follow; to become allied to; to accompany; to study with; to increase; to be added to
3	続ける	つづける	v1,vt	to continue; to keep up; to keep on	続く	つづく	v5k,vi	to be continued
3	退ける	どける	v1	to remove; to take away; to dislodge; to put something out of the way	退く	どく	v5k,vi	(1) to retreat; to recede; to withdraw
3	届ける	とどける	v1	to deliver; to forward; to send; to report; to file notice (to the authorities)	届く	とどく	v5k,vi	to reach
3	整える	ととのえる	v1	(1) to put in order; to arrange; to adjust; (2) to get ready; to prepare; (3) to raise money	整う	ととのう	v5u	to be prepared; to be in order; to be put in order; to be arranged
3	間違える	まちがえる	v1	to err; to make a mistake	間違う	まちがう	v5u	to make a mistake; to be incorrect; to be mistaken
3	温める	ぬるめる	v1	to cool something down (e.g. by adding water)	温む	ぬるむ	v5m	to cool off; to become tepid
3	退ける	のける	v1	to remove; to take away; to dislodge; to put something out of the way	退く	のく	v5k,vi	(1) to retreat; to recede; to withdraw
3	向ける	むける	v1	to turn towards; to point	向く	むく	v5k	(1) to face; (2) to turn toward; (3) to be suited to; to be fit for向かう [むかう](v5u) (1) to face; (2) to go towards
3	止める	やめる	v1,vt	to end; to stop; to cease; to resign	止む	やむ	v5m,vi	to cease; to stop; to be over
3	苦しめる	くるしめる	v1	to torment; to harass; to inflict pain	苦しむ	くるしむ	v5m	to suffer; to groan; to be worried
3	和らげる	やわらげる	v1	to soften; to moderate; to relieve	和らぐ	やわらぐ	v5g	to soften; to calm down; to be mitigated
3	緩める	ゆるめる	v1	to loosen; to slow down	緩む	ゆるむ	v5m	to become loose; to slacken
3	竦める	すくめる	v1	to shrug (shoulders); to duck (head); to draw back (body)	竦む	すくむ	v5m	to cower; to be cramped
3	並べる	ならべる	v1,vt	to line up; to set up	並ぶ	ならぶ	v5b,vi	to line up; to stand in a line
3	延べる	のべる	v1	to make (bed); to stretch; to widen	延びる	のびる	v1,vi	(1) to stretch; to extend; to lengthen; to spread; (2) to make progress; to grow (beard, body height); (3) to grow stale (soba); (4) to be straightened; to be flattened; to be smoothed; (5) to be exhausted; (6) to be postponed; to be prolonged
3	混ぜる	まぜる	v1	to mix; to stir	混じる	まじる	v5r,vi	to be mixed; to be blended with; to associate with; to mingle with; to interest; to join
4	出す	だす	v5s	(1) to take out; to get out; (2) to put out; (3) to submit (e.g. thesis); to turn in; (4) to publish; to make public; (5) to send (e.g. letter); to start (fire)	出る	でる	v1	to appear; to come forth; to leave
4	冷ます	さます	v5s,vt	to cool; to dampen; to let cool; to throw a damper on; to spoil	冷める	さめる	v1	to become cool; to wear off; to abate; to subside; to dampen; to cool down (interest); to come down (fever)
4	覚ます,醒ます	さます	v5s	(1) to awaken; (2) to disabuse; (3) to sober up	覚める,醒める	さめる		to wake; to wake up
4	溶かす	とかす	v5s,vt	to melt; to dissolve	溶ける	とける	v1,vi	to melt; to thaw; to fuse; to dissolve
4	生かす	いかす	v5s	to revive; to resuscitate; to make use of	生きる	いきる	v1	to live; to exist
4		ふやかす	v5s	to soak; to steep; to macerate	潤ける	ふやける	v1	(uk) to become sodden; to swell up
