level,kanji,readings,meanings
N3,末,マツ | バツ | すえ,end | close | tip | powder | posterity
N3,乗,ジョウ | ショウ | の.る | ~の.り | の.せる,ride | power | multiplication | record | counter for vehicles | board | mount | join
N3,民,ミン | たみ,people | nation | subjects
N3,眠,ミン | ねむ.る | ねむ.い,sleep | die | sleepy
N3,責,セキ | せ.める,blame | condemn | censure
N3,便,ベン | ビン | たよ.り,convenience | facility | excrement | feces | letter | chance
N3,育,イク | そだ.つ | そだ.ち | そだ.てる | はぐく.む,bring up | grow up | raise | rear
N3,困,コン | こま.る,quandary | become distressed | annoyed
N3,直,チョク | ジキ | ジカ | ただ.ちに | なお.す | ~なお.す | なお.る | なお.き | す.ぐ,straightaway | honesty | frankness | fix | repair
N3,精,セイ | ショウ | しら.げる | くわ.しい,refined | ghost | fairy | energy | vitality | semen | excellence | purity | skill
N3,戦,セン | いくさ | たたか.う | おのの.く | そよ.ぐ | わなな.く,war | battle | match
N3,観,カン | み.る | しめ.す,outlook | look | appearance | condition | view
N3,貧,ヒン | ビン | まず.しい,poverty | poor
N3,因,イン | よ.る | ちな.む,cause | factor | be associated with | depend on | be limited to
N3,返,ヘン | かえ.す | ~かえ.す | かえ.る | ~かえ.る,return | answer | fade | repay
N3,富,フ | フウ | と.む | とみ,wealth | enrich | abundant
N3,込,~こ.む | こ.む | こ.み | ~こ.み | こ.める,crowded | mixture | in bulk | included | (kokuji)
N3,宿,シュク | やど | やど.る | やど.す,inn | lodging | relay station | dwell | lodge | be pregnant | home | dwelling
N3,所,ショ | ところ | ~ところ | どころ | とこ,place | extent
N3,判,ハン | バン | わか.る,judgement | signature | stamp | seal
N3,科,カ,department | course | section
N3,難,ナン | かた.い | ~がた.い | むずか.しい | むづか.しい | むつか.しい | ~にく.い,difficult | impossible | trouble | accident | defect
N3,欲,ヨク | ほっ.する | ほ.しい,longing | covetousness | greed | passion | desire | craving
N3,断,ダン | た.つ | ことわ.る | さだ.める,severance | decline | refuse | apologize | warn | dismiss | prohibit | decision | judgement | cutting
N3,辞,ジ | や.める | いな.む,resign | word | term | expression
N3,探,タン | さぐ.る | さが.す,grope | search | look for
N3,識,シキ | し.る | しる.す,discriminating | know | write
N3,杯,ハイ | さかずき,counter for cupfuls | wine glass | glass | toast
N3,陽,ヨウ | ひ,sunshine | yang principle | positive | male | heaven | daytime
N3,参,サン | シン | まい.る | まい~ | まじわる | みつ,nonplussed | three (in documents) | going | coming | visiting | visit | be defeated | die | be madly in love | participate | take part in
N3,費,ヒ | つい.やす | つい.える,expense | cost | spend | consume | waste
N3,増,ゾウ | ま.す | ま.し | ふ.える | ふ.やす,increase | add | augment | gain | promote
N3,晴,セイ | は.れる | は.れ | は.れ~ | ~ば.れ | は.らす,clear up
N3,降,コウ | ゴ | お.りる | お.ろす | ふ.る | ふ.り | くだ.る | くだ.す,descend | precipitate | fall | surrender
N3,暮,ボ | く.れる | く.らす,evening | twilight | season's end | livelihood | make a living | spend time
N3,君,クン | きみ | ~ぎみ,mister | you | ruler | male name suffix
